Variable,Title,Description,Slide,Category
{{U_RES}},Unscanned/Discovered Resources,Discovered resources pending full inventory,4,Metrics
{{WS_F}},Workload Scans Failed,Failed workload scans,4,Workload Inventory
{{WS_P}},Workload Scan Success Ratio %,Success ratio for compute workload scans,4,Workload Inventory
{{WS_SK}},Workload Scans Skipped,Skipped workload scans,4,Workload Inventory
{{WS_T}},Total Compute Workload Scans,Total compute workload scans evaluated,4,Workload Inventory
{{RCI_C}},Container Image Scan Coverage %,Coverage percentage (e.g. 16%),5,Container Image Scans
{{RCI_F}},Container Image Failed Scans,Failed container image scans,5,Container Image Scans
{{RCI_S}},Container Image Skipped Scans,Skipped container image scans,5,Container Image Scans
{{RCI_T}},Container Image Total Scans,Total registry container image workload scans,5,Container Image Scans
{{DS_AI}},AI Datastores Scanned,AI datasets / Knowledge bases,5,DSPM Breakdown
{{DS_B}},Storage Buckets Scanned,"S3, GCS, Azure Blob buckets",5,DSPM Breakdown
{{DS_DW}},Data Warehouses Scanned,"Snowflake, BigQuery, Redshift",5,DSPM Breakdown
{{DS_FSS}},File System Services Scanned,"EFS, Azure Files, NetApp",5,DSPM Breakdown
{{DS_PD}},PaaS Databases Scanned,"RDS, Cloud SQL, CosmosDB",5,DSPM Breakdown
{{DS_VD}},Virtual Drives Scanned,"EBS, Google Persistent Disks",5,DSPM Breakdown
{{DS_F}},DSPM Failed Scans,Failed DSPM scans,5,Data Security (DSPM) Scans
{{DS_P}},DSPM Scan Coverage %,DSPM coverage percentage (e.g. 81%),5,Data Security (DSPM) Scans
{{DS_SK}},DSPM Skipped Scans,Skipped DSPM scans,5,Data Security (DSPM) Scans
{{DS_T}},DSPM Total Scans,Total DSPM data security scans,5,Data Security (DSPM) Scans
{{NON_C}},Non-OS Disk Scan Coverage %,Coverage percentage (e.g. 35%),5,Non-OS Disk Scans
{{NON_F}},Non-OS Disk Failed Scans,Failed Non-OS disk scans,5,Non-OS Disk Scans
{{NON_S}},Non-OS Disk Skipped Scans,Skipped Non-OS disk scans,5,Non-OS Disk Scans
{{NON_T}},Non-OS Disk Total Scans,Total Non-OS disk scans evaluated,5,Non-OS Disk Scans
{{SHI_C}},Open Critical SHIs,Open Critical System Health Issues,5,System Health
{{SHI_H}},Open High SHIs,Open High System Health Issues,5,System Health
{{SHI_R_C}},Resolved Critical SHIs (30d),Resolved Critical SHIs in past 30 days,5,System Health
{{SHI_R_H}},Resolved High SHIs (30d),Resolved High SHIs in past 30 days,5,System Health
{{SHI_B}},SHI - Brokers & CLI,Open Crit+High SHIs on Brokers / CLI,5,System Health Breakdown
{{SHI_CC}},SHI - Cloud Connectors,Open Crit+High SHIs on Cloud Connectors,5,System Health Breakdown
{{SHI_I}},SHI - Integrations & Service Accounts,Open Crit+High SHIs on Integrations,5,System Health Breakdown
{{SHI_KC}},SHI - Kubernetes Connectors,Open Crit+High SHIs on K8s Connectors,5,System Health Breakdown
{{SHI_O}},SHI - Outposts & Outpost Clusters,Open Crit+High SHIs on Outposts,5,System Health Breakdown
{{SHI_RC}},SHI - Registry Connectors,Open Crit+High SHIs on Container Registries,5,System Health Breakdown
{{SHI_VCS}},SHI - VCS & CI/CD Connectors,Open Crit+High SHIs on Version Control,5,System Health Breakdown
{{VMI_C}},VM Image Scan Coverage %,Coverage percentage (e.g. 0%),5,VM Image Scans
{{VMI_F}},VM Image Failed Scans,Failed VM image scans,5,VM Image Scans
{{VMI_S}},VM Image Skipped Scans,Skipped VM image scans,5,VM Image Scans
{{VMI_T}},VM Image Total Scans,Total VM image workload scans,5,VM Image Scans
{{F_AR}},Automation Rules (On / Off),Automation rules enabled vs disabled,6,Adoption & Governance
{{F_BA}},Blue Agent Enabled,Whether the Wiz Blue Agent is enabled,"6, 13",Adoption & Governance
{{F_BE}},Using Wiz Browser Extension,Distinct users of the Wiz AI browser extension,6,Adoption & Governance
{{F_DR}},Service Catalog Discovery Rules,Application/service discovery rules configured,6,Adoption & Governance
{{F_FW}},Custom Compliance Frameworks,Count of user-created custom compliance frameworks enabled,6,Adoption & Governance
{{F_GA}},Green Agent Enabled,Whether the Wiz Green Agent (WizOS) is enabled,"6, 13",Adoption & Governance
{{F_IR}},Inventory Management Rules,User-created inventory management rules,6,Adoption & Governance
{{F_MM}},User Created Monitored Metrics,Custom monitored metrics created by the customer,6,Adoption & Governance
{{F_PP}},User Created Posture Policies,Custom posture policies created by the customer,6,Adoption & Governance
{{F_RA}},Red Agent Enabled,Whether the Wiz Red Agent (offensive) is enabled,"6, 13",Adoption & Governance
{{F_TR}},Resource Tag Rules (On / Off),Resource tagging rules enabled vs disabled,6,Adoption & Governance
{{F_WF}},Automation Workflows,Automation workflows enabled vs disabled,6,Adoption & Governance
{{F_WMCP}},Wiz MCP Users,Distinct users of the Wiz MCP integration,6,Adoption & Governance
{{IA_1}},Integration #1 Name,Name of the #1 most-recently-active integration,6,Integrations Activity
{{IA_10}},Integration #10 Name,Name of the #10 most-recently-active integration,6,Integrations Activity
{{IA_2}},Integration #2 Name,Name of the #2 most-recently-active integration,6,Integrations Activity
{{IA_3}},Integration #3 Name,Name of the #3 most-recently-active integration,6,Integrations Activity
{{IA_4}},Integration #4 Name,Name of the #4 most-recently-active integration,6,Integrations Activity
{{IA_5}},Integration #5 Name,Name of the #5 most-recently-active integration,6,Integrations Activity
{{IA_6}},Integration #6 Name,Name of the #6 most-recently-active integration,6,Integrations Activity
{{IA_7}},Integration #7 Name,Name of the #7 most-recently-active integration,6,Integrations Activity
{{IA_8}},Integration #8 Name,Name of the #8 most-recently-active integration,6,Integrations Activity
{{IA_9}},Integration #9 Name,Name of the #9 most-recently-active integration,6,Integrations Activity
{{IR_1}},Integration #1 Last Activity,Last activity/tested date for integration #1,6,Integrations Activity
{{IR_10}},Integration #10 Last Activity,Last activity/tested date for integration #10,6,Integrations Activity
{{IR_2}},Integration #2 Last Activity,Last activity/tested date for integration #2,6,Integrations Activity
{{IR_3}},Integration #3 Last Activity,Last activity/tested date for integration #3,6,Integrations Activity
{{IR_4}},Integration #4 Last Activity,Last activity/tested date for integration #4,6,Integrations Activity
{{IR_5}},Integration #5 Last Activity,Last activity/tested date for integration #5,6,Integrations Activity
{{IR_6}},Integration #6 Last Activity,Last activity/tested date for integration #6,6,Integrations Activity
{{IR_7}},Integration #7 Last Activity,Last activity/tested date for integration #7,6,Integrations Activity
{{IR_8}},Integration #8 Last Activity,Last activity/tested date for integration #8,6,Integrations Activity
{{IR_9}},Integration #9 Last Activity,Last activity/tested date for integration #9,6,Integrations Activity
{{KC_AC}},Clusters with Admission Controller,Clusters with admission controller webhook,6,Kubernetes
{{KC_WC}},Clusters with Connector Deployed,Clusters with active Wiz K8s connector,6,Kubernetes
{{KG_NA}},Clusters Missing Audit Log Ingestion,Missing audit log ingestion,6,Kubernetes Gaps
{{KG_NC}},Clusters Missing Connector,Unmanaged / unmonitored clusters,6,Kubernetes Gaps
{{KG_NS}},Clusters Missing Runtime Sensor,Missing runtime threat detection,6,Kubernetes Gaps
{{CC_TOT}},Champion Center Items,Total Champion Center journey items for the tenant,6,Metrics
{{PC_TOT}},Sub-Projects (non-root),Projects excluding the root project,6,Metrics
{{P_HBI}},High Business Impact Projects,Projects tagged High Business Impact,6,Metrics
{{P_LBI}},Low Business Impact Projects,Projects tagged Low Business Impact,6,Metrics
{{P_MBI}},Medium Business Impact Projects,Projects tagged Medium Business Impact,6,Metrics
{{P_TOT}},Total Projects,Total projects in the tenant,6,Metrics
{{U_ACT}},Active Users (30d),Users who logged in within the last 30 days,6,Metrics
{{U_ENG}},User Engagement %,Active users as a percentage of total users,6,Metrics
{{U_TOT}},Total Users,Total non-deleted portal users,6,Metrics
{{ALL_NON_BILLABLE_PREVIEW}},All Non-Billable Public Previews,Bullet list of all non-billable public-preview features enabled,7,Preview Hub
{{BILLABLE_ADVANCED}},Billable Public Previews - Advanced,Billable public-preview features enabled under the Advanced tier,7,Preview Hub
{{BILLABLE_CODE}},Billable Public Previews - Code,Billable public-preview features enabled under the Code tier,7,Preview Hub
{{BILLABLE_DEFEND}},Billable Public Previews - Defend,Billable public-preview features enabled under the Defend tier,7,Preview Hub
{{BILLABLE_SENSOR}},Billable Public Previews - Sensor,Billable public-preview features enabled under the Sensor tier,7,Preview Hub
{{PRIVATE_BILLABLE}},Billable Private Previews,Bullet list of billable private-preview features enabled,8,Preview Hub
{{PRIVATE_NON_BILLABLE}},Non-Billable Private Previews,Bullet list of non-billable private-preview features enabled,8,Preview Hub
{{ROADMAP_TRACKER}},Tracked Roadmap Items,Formatted list of tracked roadmap items,9,Metrics
{{AE_TOT}},ASM Estimated Workloads,Calculated ASM compute workload units,11,Attack Surface Management
{{CI_CBC_1}},Top Critical Control 1 Count,Issue count for top critical control 1,11,Top Controls
{{CI_CBC_2}},Top Critical Control 2 Count,Issue count for top critical control 2,11,Top Controls
{{CI_CBC_3}},Top Critical Control 3 Count,Issue count for top critical control 3,11,Top Controls
{{CI_CONTROL_1}},Top Critical Control 1 Name,Control with most critical issues,11,Top Controls
{{CI_CONTROL_2}},Top Critical Control 2 Name,Control with second most critical issues,11,Top Controls
{{CI_CONTROL_3}},Top Critical Control 3 Name,Control with third most critical issues,11,Top Controls
{{HI_CBC_1}},Top High Control 1 Count,Issue count for top high control 1,11,Top Controls
{{HI_CBC_2}},Top High Control 2 Count,Issue count for top high control 2,11,Top Controls
{{HI_CBC_3}},Top High Control 3 Count,Issue count for top high control 3,11,Top Controls
{{HI_CONTROL_1}},Top High Control 1 Name,Control with most high issues,11,Top Controls
{{HI_CONTROL_2}},Top High Control 2 Name,Control with second most high issues,11,Top Controls
{{HI_CONTROL_3}},Top High Control 3 Name,Control with third most high issues,11,Top Controls
{{AI_IF}},AI Inventory Findings Count,Inventory findings for AI models & MCP servers,12,AI Security Findings
{{AI_MF}},AI Misconfiguration Findings Count,Configuration findings for AI framework (wct-id-1998),12,AI Security Findings
{{AI_SF}},AI Security Findings Count,Active AI security posture findings,12,AI Security Findings
{{OC}},Open Critical Issues,Total active critical severity issues,12,Security Posture
{{OH}},Open High Issues,Total active high severity issues,12,Security Posture
{{RC}},Resolved Critical Issues (90d),Resolved critical issues in past 90 days,12,Security Posture
{{RH}},Resolved High Issues (90d),Resolved high issues in past 90 days,12,Security Posture
{{RJ}},Ignored Issues Count,Total issues in rejected / ignored status,12,Security Posture
{{SG}},Security Score Gap,Gap between current score and benchmark (%),12,Security Posture
{{SP}},Industry Benchmark Score,Peer benchmark security score (%),12,Security Posture
{{SS}},Current Security Score,Wiz Security Score (0-100%),12,Security Posture
{{SS_I}},Industry Benchmark Name,"e.g. Technology, Financial Services, Healthcare",12,Security Posture
{{s1d}},90-Day Security Score Trend,Score change (+/- %),12,Security Posture
{{AVG_AGEC}},Critical Issues Average Age,Average age of open critical issues (days),12,Threats & Runtime
{{AVG_AGEH}},High Issues Average Age,Average age of open high issues (days),12,Threats & Runtime
{{MTTR_O}},Mean Time to Remediate (MTTR),Average MTTR in days for criticals/threats,12,Threats & Runtime
{{OT}},Open Threats Count,Open runtime threat detections,12,Threats & Runtime
{{RT}},Resolved Threats Count (90d),Resolved threats in past 90 days,12,Threats & Runtime
{{AE_HTTP}},HTTP/HTTPS App Endpoints,Application endpoints on HTTP/HTTPS protocols,13,Metrics
{{AE_NHTTP}},Non-HTTP App Endpoints,Application endpoints on non-HTTP protocols,13,Metrics
{{L_CL_PCT}},Container Lifecycle Coverage %,Container lifecycle scanning coverage,14,Licenses
{{L_CO}},Wiz Code License,Active / Inactive,14,Licenses
{{L_DE}},Wiz Defend License,Active / Inactive,14,Licenses
{{RC_1}},Registry Type #1 Count,Registry count for the #1 registry type,15,Container Registries
{{RC_2}},Registry Type #2 Count,Registry count for the #2 registry type,15,Container Registries
{{RC_3}},Registry Type #3 Count,Registry count for the #3 registry type,15,Container Registries
{{RC_4}},Registry Type #4 Count,Registry count for the #4 registry type,15,Container Registries
{{RC_5}},Registry Type #5 Count,Registry count for the #5 registry type,15,Container Registries
{{RC_6}},Registry Type #6 Count,Registry count for the #6 registry type,15,Container Registries
{{R_1}},Registry Type #1,#1 container registry type by count (ECR/ACR/GAR/etc.),15,Container Registries
{{R_2}},Registry Type #2,#2 container registry type by count (ECR/ACR/GAR/etc.),15,Container Registries
{{R_3}},Registry Type #3,#3 container registry type by count (ECR/ACR/GAR/etc.),15,Container Registries
{{R_4}},Registry Type #4,#4 container registry type by count (ECR/ACR/GAR/etc.),15,Container Registries
{{R_5}},Registry Type #5,#5 container registry type by count (ECR/ACR/GAR/etc.),15,Container Registries
{{R_6}},Registry Type #6,#6 container registry type by count (ECR/ACR/GAR/etc.),15,Container Registries
{{K8C_1}},K8s Distribution #1 Count,Cluster count for the #1 Kubernetes distribution,15,Kubernetes
{{K8C_2}},K8s Distribution #2 Count,Cluster count for the #2 Kubernetes distribution,15,Kubernetes
{{K8C_3}},K8s Distribution #3 Count,Cluster count for the #3 Kubernetes distribution,15,Kubernetes
{{K8C_4}},K8s Distribution #4 Count,Cluster count for the #4 Kubernetes distribution,15,Kubernetes
{{K8C_5}},K8s Distribution #5 Count,Cluster count for the #5 Kubernetes distribution,15,Kubernetes
{{K8S_1}},K8s Distribution #1,#1 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.),15,Kubernetes
{{K8S_2}},K8s Distribution #2,#2 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.),15,Kubernetes
{{K8S_3}},K8s Distribution #3,#3 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.),15,Kubernetes
{{K8S_4}},K8s Distribution #4,#4 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.),15,Kubernetes
{{K8S_5}},K8s Distribution #5,#5 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.),15,Kubernetes
{{CL_BLD}},Container Images - Build Stage,Container images detected at the Build lifecycle stage,15,Metrics
{{CL_CLD}},Container Images - Cloud Stage,Container images detected at the Cloud (running) lifecycle stage,15,Metrics
{{CL_CODE}},Container Images - Code Stage,Container images detected at the Code lifecycle stage,15,Metrics
{{CL_DEP}},Container Images - Deploy Stage,Container images detected at the Deploy lifecycle stage,15,Metrics
{{CL_RT}},Container Images - Runtime Stage,Container images detected at the Runtime lifecycle stage,15,Metrics
{{CL_STR}},Container Images - Registry/Store Stage,Container images detected in registries (Store stage),15,Metrics
{{K8C_OTH}},K8s Clusters - Other Distributions,Cluster count outside the top 5 distributions,15,Metrics
{{K8C_TOT}},Kubernetes Clusters Total,Total Kubernetes clusters discovered,15,Metrics
{{KC_CLI}},K8s Clusters w/ Sensor,Clusters with a Wiz sensor group installed,15,Metrics
{{KC_SE}},K8s Clusters w/ Audit Log Collector,Clusters with the Kubernetes audit log collector,15,Metrics
{{KG_IA}},K8s Clusters Internet-Exposed,Kubernetes clusters accessible from the internet,15,Metrics
{{R_AUT}},Registries - Auto-scanned,Container registries with automatic scanning,15,Metrics
{{R_CON}},Registries - Connector-based,Container registries scanned via a connector,15,Metrics
{{R_CUS}},Registries - Custom,Container registries with custom scanning configuration,15,Metrics
{{ASM_API}},Advanced Scan Source: API Security,ASM setting: Advanced Scan Source: API Security,17,Attack Surface Management
{{ASM_API_R}},Advanced Scan Source: API Security - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: API Security,17,Attack Surface Management
{{ASM_CODE}},Advanced Scan Source: Code,ASM setting: Advanced Scan Source: Code,17,Attack Surface Management
{{ASM_CODE_R}},Advanced Scan Source: Code - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: Code,17,Attack Surface Management
{{ASM_CRED}},Rules: Default Credentials Detection,ASM setting: Rules: Default Credentials Detection,17,Attack Surface Management
{{ASM_CRED_R}},Rules: Default Credentials Detection - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: Default Credentials Detection,17,Attack Surface Management
{{ASM_CUST}},Advanced Scan Source: Custom Targets,ASM setting: Advanced Scan Source: Custom Targets,17,Attack Surface Management
{{ASM_CUST_R}},Advanced Scan Source: Custom Targets - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: Custom Targets,17,Attack Surface Management
{{ASM_DAST}},Rules: DAST,ASM setting: Rules: DAST,17,Attack Surface Management
{{ASM_DAST_R}},Rules: DAST - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: DAST,17,Attack Surface Management
{{ASM_DATA}},Risk: Sensitive Data Findings Detection,ASM setting: Risk: Sensitive Data Findings Detection,17,Attack Surface Management
{{ASM_DATA_R}},Risk: Sensitive Data Findings Detection - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Risk: Sensitive Data Findings Detection,17,Attack Surface Management
{{ASM_EAR}},Rules: Early Access Rules,ASM setting: Rules: Early Access Rules,17,Attack Surface Management
{{ASM_EAR_R}},Rules: Early Access Rules - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: Early Access Rules,17,Attack Surface Management
{{ASM_EXPL}},Application Endpoint Exposure Level,ASM setting: Application Endpoint Exposure Level,17,Attack Surface Management
{{ASM_EXPL_R}},Application Endpoint Exposure Level - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Application Endpoint Exposure Level,17,Attack Surface Management
{{ASM_HPT}},Rules: High-Profile Threat Detection,ASM setting: Rules: High-Profile Threat Detection,17,Attack Surface Management
{{ASM_HPT_R}},Rules: High-Profile Threat Detection - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: High-Profile Threat Detection,17,Attack Surface Management
{{ASM_MISC}},Rules: Misconfiguration Detection,ASM setting: Rules: Misconfiguration Detection,17,Attack Surface Management
{{ASM_MISC_R}},Rules: Misconfiguration Detection - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: Misconfiguration Detection,17,Attack Surface Management
{{ASM_MODE}},Scanner Mode (Basic/Advanced),ASM setting: Scanner Mode (Basic/Advanced),17,Attack Surface Management
{{ASM_MODE_R}},Scanner Mode (Basic/Advanced) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Scanner Mode (Basic/Advanced),17,Attack Surface Management
{{ASM_RECON}},Advanced Scan Source: Reconnaissance,ASM setting: Advanced Scan Source: Reconnaissance,17,Attack Surface Management
{{ASM_RECON_R}},Advanced Scan Source: Reconnaissance - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: Reconnaissance,17,Attack Surface Management
{{ASM_RS}},Advanced Scan Source: Runtime Sensor,ASM setting: Advanced Scan Source: Runtime Sensor,17,Attack Surface Management
{{ASM_RS_R}},Advanced Scan Source: Runtime Sensor - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: Runtime Sensor,17,Attack Surface Management
{{ASM_SAAS}},Advanced Scan Source: SaaS,ASM setting: Advanced Scan Source: SaaS,17,Attack Surface Management
{{ASM_SASS_R}},Advanced Scan Source: SaaS - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: SaaS,17,Attack Surface Management
{{ASM_SEC}},Risk: Secret Findings Detection,ASM setting: Risk: Secret Findings Detection,17,Attack Surface Management
{{ASM_SEC_R}},Risk: Secret Findings Detection - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Risk: Secret Findings Detection,17,Attack Surface Management
{{ASM_SV}},Risk: Secret Validation,ASM setting: Risk: Secret Validation,17,Attack Surface Management
{{ASM_SV_R}},Risk: Secret Validation - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Risk: Secret Validation,17,Attack Surface Management
{{ASM_VEXP}},Rules: Vulnerability Exploitability,ASM setting: Rules: Vulnerability Exploitability,17,Attack Surface Management
{{ASM_VEXP_R}},Rules: Vulnerability Exploitability - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: Vulnerability Exploitability,17,Attack Surface Management
{{ASM_VULN}},Risk: Vulnerability Assessment,ASM setting: Risk: Vulnerability Assessment,17,Attack Surface Management
{{ASM_VULN_R}},Risk: Vulnerability Assessment - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Risk: Vulnerability Assessment,17,Attack Surface Management
