Category,Variable,Title,Value,Slide,Description
Metrics,{{CL_REDA}},Cloud Advanced - Red Agent %,250,4,Red Agent enabled (100) or not (0)
Metrics,{{CL_SUP}},Cloud Advanced - SaaS Users %,80%,4,SaaS security scanner enabled (100) or not (0)
Metrics,{{CL_UVMP}},Cloud Advanced - Unified Vuln Mgmt %,80%,4,Share of vulnerability-assessment detections enabled
Metrics,{{CL_WOP}},Cloud Advanced - WizOS %,Not available via MCP,4,WizOS workloads as a percent of compute workloads
Metrics,{{CONTRACT_END_FMT}},Contract End Date (formatted),01/01/2027,4,"Current contract end date, MM/DD/YYYY"
Metrics,{{CUS_NOD}},Days as Wiz Customer,50,4,Days since the tenant was created
Metrics,{{D_U_R}},Days Until Renewal,250,4,Days remaining until contract renewal
Metrics,{{RA_DAST}},Red Agent - DAST Attacker Findings,50,4,Open DAST Attacker findings from Red Agent
Metrics,{{RA_SI}},Red Agent - Secret Impact Findings,5,4,Open Secret Impact (blast radius) findings from Red Agent
Metrics,{{RA_TOTS}},Red Agent - Total Monthly Scans,250,4,Total Red Agent scans per month
Metrics,{{RA_WC}},Red Agent - Web Crawler Endpoints,250,4,AI-generated API endpoints found by the Red Agent web crawler
Metrics,{{TI}},Total Container Images,1500,"4, 15",Total container images discovered
Metrics,{{U_RES}},Unscanned/Discovered Resources,250,4,Discovered resources pending full inventory
Workload Inventory,{{WS_F}},Workload Scans Failed,250,5,Failed workload scans (ScanStatusError)
Workload Scan Failures,{{WS_S}},Skipped Workload Scans,250,5,Skipped workload scans (ScanStatusSkipped)
Workload Inventory,{{WS_P}},Workload Scan Coverage %,80%,5,Workload scan coverage = success/total (13218/14511)
Workload Inventory,{{WS_SK}},Workload Scans Skipped,250,4,Skipped workload scans
Workload Inventory,{{WS_T}},Total Workload Scans,12000,5,Total workload scans (SECURITY_TOOL_SCAN / Wiz Workload Scanner)
Container Image Scans,{{RCI_C}},Container Image Scan Coverage %,80%,5,Coverage percentage (e.g. 16%)
Container Image Scans,{{RCI_F}},Container Image Failed Scans,250,5,Failed container image scans
Container Image Scans,{{RCI_S}},Container Image Skipped Scans,50,5,Skipped container image scans
Container Image Scans,{{RCI_T}},Container Image Total Scans,1500,5,Total registry container image workload scans
DSPM Breakdown,{{DS_AI}},AI Datastores Scanned,5,5,AI datasets / Knowledge bases
DSPM Breakdown,{{DS_B}},Storage Buckets Scanned,1500,5,"S3, GCS, Azure Blob buckets"
DSPM Breakdown,{{DS_DW}},Data Warehouses Scanned,5,5,"Snowflake, BigQuery, Redshift"
DSPM Breakdown,{{DS_FSS}},File System Services Scanned,5,5,"EFS, Azure Files, NetApp"
DSPM Breakdown,{{DS_PD}},PaaS Databases Scanned,250,5,"RDS, Cloud SQL, CosmosDB"
DSPM Breakdown,{{DS_VD}},Virtual Drives Scanned,50,5,"EBS, Google Persistent Disks"
Data Security (DSPM) Scans,{{DS_F}},DSPM Failed Scans,250,5,Failed DSPM scans
Data Security (DSPM) Scans,{{DS_P}},DSPM Scan Coverage %,80%,5,DSPM coverage percentage (e.g. 81%)
Data Security (DSPM) Scans,{{DS_SK}},DSPM Skipped Scans,1500,5,Skipped DSPM scans
Data Security (DSPM) Scans,{{DS_T}},DSPM Total Scans,1500,5,Total DSPM data security scans
Non-OS Disk Scans,{{NON_C}},Non-OS Disk Scan Coverage %,80%,5,Coverage percentage (e.g. 35%)
Non-OS Disk Scans,{{NON_F}},Non-OS Disk Failed Scans,50,5,Failed Non-OS disk scans
Non-OS Disk Scans,{{NON_S}},Non-OS Disk Skipped Scans,50,5,Skipped Non-OS disk scans
Non-OS Disk Scans,{{NON_T}},Non-OS Disk Total Scans,250,5,Total Non-OS disk scans evaluated
System Health,{{SHI_C}},Open Critical SHIs,250,5,Open Critical System Health Issues
System Health,{{SHI_H}},Open High SHIs,250,5,Open High System Health Issues
System Health,{{SHI_R_C}},Resolved Critical SHIs (30d),250,5,Resolved Critical SHIs in past 30 days
System Health,{{SHI_R_H}},Resolved High SHIs (30d),250,5,Resolved High SHIs in past 30 days
System Health Breakdown,{{SHI_B}},SHI - Brokers & CLI,5,5,Open Crit+High SHIs on Brokers / CLI
System Health Breakdown,{{SHI_CC}},SHI - Cloud Connectors,250,5,Open Crit+High SHIs on Cloud Connectors
System Health Breakdown,{{SHI_I}},SHI - Integrations & Service Accounts,50,5,Open Crit+High SHIs on Integrations
System Health Breakdown,{{SHI_KC}},SHI - Kubernetes Connectors,50,5,Open Crit+High SHIs on K8s Connectors
System Health Breakdown,{{SHI_O}},SHI - Outposts & Outpost Clusters,250,5,Open Crit+High SHIs on Outposts
System Health Breakdown,{{SHI_RC}},SHI - Registry Connectors,250,5,Open Crit+High SHIs on Container Registries
System Health Breakdown,{{SHI_VCS}},SHI - VCS & CI/CD Connectors,50,5,Open Crit+High SHIs on Version Control
VM Image Scans,{{VMI_C}},VM Image Scan Coverage %,80%,5,Coverage percentage (e.g. 0%)
VM Image Scans,{{VMI_F}},VM Image Failed Scans,250,5,Failed VM image scans
VM Image Scans,{{VMI_S}},VM Image Skipped Scans,250,5,Skipped VM image scans
VM Image Scans,{{VMI_T}},VM Image Total Scans,250,5,Total VM image workload scans
Adoption & Governance,{{F_AR}},Automation Rules (On / Off),50 / 10,6,Automation rules enabled vs disabled
Adoption & Governance,{{F_BA}},Blue Agent Enabled,Enabled,"6, 13",Whether the Wiz Blue Agent is enabled
Adoption & Governance,{{F_BE}},Using Wiz Browser Extension,Not available via MCP,6,Distinct users of the Wiz AI browser extension
Adoption & Governance,{{F_DR}},Service Catalog Discovery Rules,Not available via MCP,6,Application/service discovery rules configured
Adoption & Governance,{{F_FW}},Custom Compliance Frameworks,50,6,Count of user-created custom compliance frameworks enabled
Adoption & Governance,{{F_GA}},Green Agent Enabled,Enabled,"6, 13",Whether the Wiz Green Agent (WizOS) is enabled
Adoption & Governance,{{F_IR}},Inventory Management Rules,50,6,User-created inventory management rules
Adoption & Governance,{{F_MM}},User Created Monitored Metrics,50,6,Custom monitored metrics created by the customer
Adoption & Governance,{{F_PP}},User Created Posture Policies,250,6,Custom posture policies created by the customer
Adoption & Governance,{{F_RA}},Red Agent Enabled,Enabled,"6, 13",Whether the Wiz Red Agent (offensive) is enabled
Adoption & Governance,{{F_TR}},Resource Tag Rules (On / Off),50 / 10,6,Resource tagging rules enabled vs disabled
Adoption & Governance,{{F_WF}},Automation Workflows,Not available via MCP,6,Automation workflows enabled vs disabled
Adoption & Governance,{{F_WMCP}},Wiz MCP Users,Not available via MCP,6,Distinct users of the Wiz MCP integration
Integrations Activity,{{IA_1}},Integration #1 Name,Example Integration 1,6,Name of the #1 most-recently-active integration
Integrations Activity,{{IA_10}},Integration #10 Name,Example Integration 10,6,Name of the #10 most-recently-active integration
Integrations Activity,{{IA_2}},Integration #2 Name,Example Integration 2,6,Name of the #2 most-recently-active integration
Integrations Activity,{{IA_3}},Integration #3 Name,Example Integration 3,6,Name of the #3 most-recently-active integration
Integrations Activity,{{IA_4}},Integration #4 Name,Example Integration 4,6,Name of the #4 most-recently-active integration
Integrations Activity,{{IA_5}},Integration #5 Name,Example Integration 5,6,Name of the #5 most-recently-active integration
Integrations Activity,{{IA_6}},Integration #6 Name,Example Integration 6,6,Name of the #6 most-recently-active integration
Integrations Activity,{{IA_7}},Integration #7 Name,Example Integration 7,6,Name of the #7 most-recently-active integration
Integrations Activity,{{IA_8}},Integration #8 Name,Example Integration 8,6,Name of the #8 most-recently-active integration
Integrations Activity,{{IA_9}},Integration #9 Name,Example Integration 9,6,Name of the #9 most-recently-active integration
Integrations Activity,{{IR_1}},Integration #1 Last Activity,ACTIVE,6,Last activity/tested date for integration #1
Integrations Activity,{{IR_10}},Integration #10 Last Activity,INACTIVE,6,Last activity/tested date for integration #10
Integrations Activity,{{IR_2}},Integration #2 Last Activity,ACTIVE,6,Last activity/tested date for integration #2
Integrations Activity,{{IR_3}},Integration #3 Last Activity,ACTIVE,6,Last activity/tested date for integration #3
Integrations Activity,{{IR_4}},Integration #4 Last Activity,ACTIVE,6,Last activity/tested date for integration #4
Integrations Activity,{{IR_5}},Integration #5 Last Activity,ACTIVE,6,Last activity/tested date for integration #5
Integrations Activity,{{IR_6}},Integration #6 Last Activity,ACTIVE,6,Last activity/tested date for integration #6
Integrations Activity,{{IR_7}},Integration #7 Last Activity,ACTIVE,6,Last activity/tested date for integration #7
Integrations Activity,{{IR_8}},Integration #8 Last Activity,ACTIVE,6,Last activity/tested date for integration #8
Integrations Activity,{{IR_9}},Integration #9 Last Activity,ACTIVE,6,Last activity/tested date for integration #9
Kubernetes,{{KC_AC}},Clusters with Admission Controller,50,6,Clusters with admission controller webhook
Kubernetes,{{KC_WC}},Clusters with Connector Deployed,250,6,Clusters with active Wiz K8s connector
Kubernetes Gaps,{{KG_NA}},Clusters Missing Audit Log Ingestion,250,6,Missing audit log ingestion
Kubernetes Gaps,{{KG_NC}},Clusters Missing Connector,50,6,Unmanaged / unmonitored clusters
Kubernetes Gaps,{{KG_NS}},Clusters Missing Runtime Sensor,250,6,Missing runtime threat detection
Metrics,{{CC_TOT}},Champion Center Items,50,6,Total Champion Center journey items for the tenant
Metrics,{{PC_TOT}},Sub-Projects (non-root),250,6,Projects excluding the root project
Metrics,{{P_HBI}},High Business Impact Projects,50,6,Projects tagged High Business Impact
Metrics,{{P_LBI}},Low Business Impact Projects,50,6,Projects tagged Low Business Impact
Metrics,{{P_MBI}},Medium Business Impact Projects,250,6,Projects tagged Medium Business Impact
Metrics,{{P_TOT}},Total Projects,250,6,Total projects in the tenant
Metrics,{{U_ACT}},Active Users (30d),250,6,Users who logged in within the last 30 days
Metrics,{{U_ENG}},User Engagement %,80%,6,Active users as a percentage of total users
Metrics,{{U_TOT}},Total Users,250,6,Total non-deleted portal users
Preview Hub,{{ALL_NON_BILLABLE_PREVIEW}},All Non-Billable Public Previews,"• Example public non-billable feature 1
• Example public non-billable feature 2
• Example public non-billable feature 3
• Example public non-billable feature 4
• Example public non-billable feature 5
• Example public non-billable feature 6",7,Bullet list of all non-billable public-preview features enabled
Preview Hub,{{BILLABLE_ADVANCED}},Billable Public Previews - Advanced,"• Example Advanced billable feature 1
• Example Advanced billable feature 2
• Example Advanced billable feature 3
• Example Advanced billable feature 4",7,Billable public-preview features enabled under the Advanced tier
Preview Hub,{{BILLABLE_CODE}},Billable Public Previews - Code,• Example Code billable feature 1,7,Billable public-preview features enabled under the Code tier
Preview Hub,{{BILLABLE_DEFEND}},Billable Public Previews - Defend,"• Example Defend billable feature 1
• Example Defend billable feature 2
• Example Defend billable feature 3",7,Billable public-preview features enabled under the Defend tier
Preview Hub,{{BILLABLE_SENSOR}},Billable Public Previews - Sensor,• None,7,Billable public-preview features enabled under the Sensor tier
Preview Hub,{{PRIVATE_BILLABLE}},Billable Private Previews,"• Example private billable feature 1
• Example private billable feature 2
• Example private billable feature 3
• Example private billable feature 4
• Example private billable feature 5",8,Bullet list of billable private-preview features enabled
Preview Hub,{{PRIVATE_NON_BILLABLE}},Non-Billable Private Previews,"• Example private non-billable feature 1
• Example private non-billable feature 2
• Example private non-billable feature 3
• Example private non-billable feature 4",8,Bullet list of non-billable private-preview features enabled
Metrics,{{ROADMAP_TRACKER}},Tracked Roadmap Items,Not available via MCP,9,Formatted list of tracked roadmap items
Attack Surface Management,{{AE_TOT}},ASM Estimated Workloads,250,11,Calculated ASM compute workload units
Top Controls,{{CI_CBC_1}},Top Critical Control 1 Count,250,11,Issue count for top critical control 1
Top Controls,{{CI_CBC_2}},Top Critical Control 2 Count,250,11,Issue count for top critical control 2
Top Controls,{{CI_CBC_3}},Top Critical Control 3 Count,50,11,Issue count for top critical control 3
Top Controls,{{CI_CONTROL_1}},Top Critical Control 1 Name,Example Critical Control 1,11,Control with most critical issues
Top Controls,{{CI_CONTROL_2}},Top Critical Control 2 Name,Example Critical Control 2,11,Control with second most critical issues
Top Controls,{{CI_CONTROL_3}},Top Critical Control 3 Name,Example Critical Control 3,11,Control with third most critical issues
Top Controls,{{HI_CBC_1}},Top High Control 1 Count,12000,11,Issue count for top high control 1
Top Controls,{{HI_CBC_2}},Top High Control 2 Count,1500,11,Issue count for top high control 2
Top Controls,{{HI_CBC_3}},Top High Control 3 Count,250,11,Issue count for top high control 3
Top Controls,{{HI_CONTROL_1}},Top High Control 1 Name,Example High Control 1,11,Control with most high issues
Top Controls,{{HI_CONTROL_2}},Top High Control 2 Name,Example High Control 2,11,Control with second most high issues
Top Controls,{{HI_CONTROL_3}},Top High Control 3 Name,Example High Control 3,11,Control with third most high issues
AI Security Findings,{{AI_IF}},AI Inventory Findings Count,1500,12,Inventory findings for AI models & MCP servers
AI Security Findings,{{AI_MF}},AI Misconfiguration Findings Count,1500,12,Configuration findings for AI framework (wct-id-1998)
AI Security Findings,{{AI_SF}},AI Security Findings Count,250,12,Active AI security posture findings
Security Posture,{{OC}},Open Critical Issues,250,12,Total active critical severity issues
Security Posture,{{OH}},Open High Issues,12000,12,Total active high severity issues
Security Posture,{{RC}},Resolved Critical Issues (90d),1500,12,Resolved critical issues in past 90 days
Security Posture,{{RH}},Resolved High Issues (90d),12000,12,Resolved high issues in past 90 days
Security Posture,{{RJ}},Ignored Issues Count,50,12,Total issues in rejected / ignored status
Security Posture,{{SG}},Security Score Gap,50,12,Gap between current score and benchmark (%)
Security Posture,{{SP}},Industry Benchmark Score,50,12,Peer benchmark security score (%)
Security Posture,{{SS}},Current Security Score,50,12,Wiz Security Score (0-100%)
Security Posture,{{SS_I}},Industry Benchmark Name,Software B2B,12,"e.g. Technology, Financial Services, Healthcare"
Security Posture,{{s1d}},90-Day Security Score Trend,Not available via MCP,12,Score change (+/- %)
Threats & Runtime,{{AVG_AGEC}},Critical Issues Average Age,Not available via MCP,12,Average age of open critical issues (days)
Threats & Runtime,{{AVG_AGEH}},High Issues Average Age,Not available via MCP,12,Average age of open high issues (days)
Threats & Runtime,{{MTTR_O}},Mean Time to Remediate (MTTR),Not available via MCP,12,Average MTTR in days for criticals/threats
Threats & Runtime,{{OT}},Open Threats Count,250,12,Open runtime threat detections
Threats & Runtime,{{RT}},Resolved Threats Count (90d),50,12,Resolved threats in past 90 days
Metrics,{{AE_HTTP}},HTTP/HTTPS App Endpoints,12000,13,Application endpoints on HTTP/HTTPS protocols
Metrics,{{AE_NHTTP}},Non-HTTP App Endpoints,50,13,Application endpoints on non-HTTP protocols
Licenses,{{L_CL_PCT}},Container Lifecycle Coverage %,Not available via MCP,14,Container lifecycle scanning coverage
Licenses,{{L_CO}},Wiz Code License,Inactive,14,Active / Inactive
Licenses,{{L_DE}},Wiz Defend License,Inactive,14,Active / Inactive
Container Registries,{{RC_1}},Registry Type #1 Count,1500,15,Registry count for the #1 registry type
Container Registries,{{RC_2}},Registry Type #2 Count,50,15,Registry count for the #2 registry type
Container Registries,{{RC_3}},Registry Type #3 Count,50,15,Registry count for the #3 registry type
Container Registries,{{RC_4}},Registry Type #4 Count,5,15,Registry count for the #4 registry type
Container Registries,{{RC_5}},Registry Type #5 Count,5,15,Registry count for the #5 registry type
Container Registries,{{RC_6}},Registry Type #6 Count,5,15,Registry count for the #6 registry type
Container Registries,{{R_1}},Registry Type #1,AWS ECR (containerRegistry),15,#1 container registry type by count (ECR/ACR/GAR/etc.)
Container Registries,{{R_2}},Registry Type #2,GCP Artifact Registry,15,#2 container registry type by count (ECR/ACR/GAR/etc.)
Container Registries,{{R_3}},Registry Type #3,Azure Container Registry,15,#3 container registry type by count (ECR/ACR/GAR/etc.)
Container Registries,{{R_4}},Registry Type #4,AWS Public ECR,15,#4 container registry type by count (ECR/ACR/GAR/etc.)
Container Registries,{{R_5}},Registry Type #5,GitHub Container Registry (ghcr.io),15,#5 container registry type by count (ECR/ACR/GAR/etc.)
Container Registries,{{R_6}},Registry Type #6,"GCP Container Registry (gcr.io, legacy)",15,#6 container registry type by count (ECR/ACR/GAR/etc.)
Kubernetes,{{K8C_1}},K8s Distribution #1 Count,50,15,Cluster count for the #1 Kubernetes distribution
Kubernetes,{{K8C_2}},K8s Distribution #2 Count,50,15,Cluster count for the #2 Kubernetes distribution
Kubernetes,{{K8C_3}},K8s Distribution #3 Count,50,15,Cluster count for the #3 Kubernetes distribution
Kubernetes,{{K8C_4}},K8s Distribution #4 Count,50,15,Cluster count for the #4 Kubernetes distribution
Kubernetes,{{K8C_5}},K8s Distribution #5 Count,5,15,Cluster count for the #5 Kubernetes distribution
Kubernetes,{{K8S_1}},K8s Distribution #1,EKS,15,#1 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.)
Kubernetes,{{K8S_2}},K8s Distribution #2,AKS,15,#2 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.)
Kubernetes,{{K8S_3}},K8s Distribution #3,GKE,15,#3 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.)
Kubernetes,{{K8S_4}},K8s Distribution #4,Kubernetes (self-managed/vanilla),15,#4 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.)
Kubernetes,{{K8S_5}},K8s Distribution #5,OpenShift,15,#5 Kubernetes distribution by cluster count (EKS/AKS/GKE/etc.)
Metrics,{{CL_BLD}},Container Images - Build Stage,50,15,Container images detected at the Build lifecycle stage
Metrics,{{CL_CLD}},Container Images - Cloud Stage,1500,15,Container images detected at the Cloud (running) lifecycle stage
Metrics,{{CL_CODE}},Container Images - Code Stage,Not available via MCP,15,Container images detected at the Code lifecycle stage
Metrics,{{CL_DEP}},Container Images - Deploy Stage,5,15,Container images detected at the Deploy lifecycle stage
Metrics,{{CL_RT}},Container Images - Runtime Stage,250,15,Container images detected at the Runtime lifecycle stage
Metrics,{{CL_STR}},Container Images - Registry/Store Stage,1500,15,Container images detected in registries (Store stage)
Metrics,{{K8C_OTH}},K8s Clusters - Other Distributions,50,15,Cluster count outside the top 5 distributions
Metrics,{{K8C_TOT}},Kubernetes Clusters Total,250,15,Total Kubernetes clusters discovered
Metrics,{{KC_CLI}},K8s Clusters w/ Sensor,50,15,Clusters with a Wiz sensor group installed
Metrics,{{KC_SE}},K8s Clusters w/ Audit Log Collector,50,15,Clusters with the Kubernetes audit log collector
Metrics,{{KG_IA}},K8s Clusters Internet-Exposed,250,15,Kubernetes clusters accessible from the internet
Metrics,{{R_AUT}},Registries - Auto-scanned,Not available via MCP,15,Container registries with automatic scanning
Metrics,{{R_CON}},Registries - Connector-based,Not available via MCP,15,Container registries scanned via a connector
Metrics,{{R_CUS}},Registries - Custom,Not available via MCP,15,Container registries with custom scanning configuration
Attack Surface Management,{{ASM_API}},Advanced Scan Source: API Security,Not available via MCP,17,ASM setting: Advanced Scan Source: API Security
Attack Surface Management,{{ASM_API_R}},Advanced Scan Source: API Security - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: API Security
Attack Surface Management,{{ASM_CODE}},Advanced Scan Source: Code,Not available via MCP,17,ASM setting: Advanced Scan Source: Code
Attack Surface Management,{{ASM_CODE_R}},Advanced Scan Source: Code - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: Code
Attack Surface Management,{{ASM_CRED}},Rules: Default Credentials Detection,Not available via MCP,17,ASM setting: Rules: Default Credentials Detection
Attack Surface Management,{{ASM_CRED_R}},Rules: Default Credentials Detection - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: Default Credentials Detection
Attack Surface Management,{{ASM_CUST}},Advanced Scan Source: Custom Targets,Not available via MCP,17,ASM setting: Advanced Scan Source: Custom Targets
Attack Surface Management,{{ASM_CUST_R}},Advanced Scan Source: Custom Targets - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: Custom Targets
Attack Surface Management,{{ASM_DAST}},Rules: DAST,Not available via MCP,17,ASM setting: Rules: DAST
Attack Surface Management,{{ASM_DAST_R}},Rules: DAST - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: DAST
Attack Surface Management,{{ASM_DATA}},Risk: Sensitive Data Findings Detection,Not available via MCP,17,ASM setting: Risk: Sensitive Data Findings Detection
Attack Surface Management,{{ASM_DATA_R}},Risk: Sensitive Data Findings Detection - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Risk: Sensitive Data Findings Detection
Attack Surface Management,{{ASM_EAR}},Rules: Early Access Rules,Not available via MCP,17,ASM setting: Rules: Early Access Rules
